city,state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id
Tucson,AZ,US,3860.0,38,2022-10-07 18:02:20,2025-11-19 19:12:38,101.57894736842104,103.0,103.0,100.0,21,True,D72
Salinas,CA,US,2942.0,22,2022-09-01 21:30:24,2024-06-01 15:40:27,133.72727272727272,100.0,206.0,100.0,557,True,D73
Sykesville,MD,US,2300.0,23,2024-01-17 17:45:39,2025-11-17 19:14:53,100.0,100.0,100.0,100.0,23,True,D74
TUCSON,AZ,US,2925.0,39,2022-10-04 05:01:59,2025-12-12 09:00:00,75.0,75.0,75.0,75.0,-1,True,D75
Walker,LA,US,600.0,6,2022-10-01 21:33:04,2023-03-01 20:48:15,100.0,100.0,100.0,100.0,1015,True,D76
Vail,AZ,US,206.0,1,2024-04-18 09:31:06,2024-04-18 09:31:06,206.0,206.0,206.0,206.0,602,False,D77
Tucson,AZ,US,25.0,1,2023-12-26 04:18:37,2023-12-26 04:18:37,25.0,25.0,25.0,25.0,716,False,D78
Austin,TX,US,952.75,37,2022-08-07 17:46:17,2025-12-07 19:17:06,25.75,25.75,25.75,25.75,3,True,D79
Tucson,AZ,US,2060.0,40,2022-09-01 21:30:06,2025-12-01 19:25:29,51.5,51.5,51.5,51.5,9,True,D80
Georgetown,TX,US,1600.0,16,2024-09-05 14:31:33,2025-12-05 19:16:28,100.0,100.0,100.0,100.0,5,True,D81
Tucson,AZ,US,7555.18,38,2022-03-01 01:00:00,2025-09-17 19:13:17,198.8205263157895,100.0,2455.18,100.0,84,True,D82
Johnstown,CO,US,412.0,4,2022-08-25 18:00:37,2022-12-25 17:48:33,103.0,103.0,103.0,103.0,1081,True,D83
Bryan,TX,US,2050.0,41,2022-08-06 17:46:40,2025-12-06 19:13:07,50.0,50.0,50.0,50.0,4,True,D84
Tucson,AZ,US,1100.0,1,2024-04-06 00:46:22,2024-04-06 00:46:22,1100.0,1100.0,1100.0,1100.0,614,False,D85
